,first name,last name,job,studies,salary
11140,Jerry,Levine,"Investment banker, operational",primary,16441.832226196537
11141,Rachel,Simmons,"Nurse, adult",primary,19191.603069367502
11142,Jeff,Carey,Microbiologist,primary,17005.32869527187
11143,Richard,Lutz,Dancer,tertiary,30260.184020081564
11144,Micheal,Brown,"Surveyor, hydrographic",primary,17221.012878798017
11145,James,Williams,"Doctor, hospital",primary,18082.530205432617
11146,Danielle,Alexander,Careers information officer,secondary,22118.14428428941
11147,Joseph,Taylor,Nature conservation officer,primary,18152.840710410794
11148,Christian,Dunn,Industrial/product designer,primary,18919.085641711907
11149,Andre,Hines,Product designer,tertiary,29311.17723572869
11150,Amanda,Fritz,"Buyer, industrial",secondary,22684.826696328255
11151,James,Wong,Customer service manager,secondary,23182.18722313444
11152,Leonard,Marshall,"Development worker, international aid",primary,18347.15650329926
11153,Leah,Bean,Retail manager,secondary,21076.731072894094
11154,Wendy,Huang,Interpreter,primary,16246.229019046215
11155,Jeffrey,Henderson,Educational psychologist,secondary,22220.8370815257
11156,Angelica,Clarke,Production engineer,primary,17553.798256553033
11157,Jane,Cardenas,Regulatory affairs officer,secondary,21594.43050838195
11158,Amanda,Tanner,Senior tax professional/tax inspector,tertiary,30378.60698803358
11159,Alexis,Norman,Chiropractor,secondary,21926.658144164616
11160,Cory,Willis,Social researcher,primary,16551.782564798825
11161,Theresa,Brown,Advertising art director,primary,16976.786967497443
11162,Sandra,Mendoza,"Psychologist, occupational",primary,18000.563779723157
11163,Ryan,Hunt,"Nurse, children's",secondary,20890.417752712012
11164,Margaret,Raymond,"Designer, interior/spatial",primary,17579.77358371857
11165,Blake,Stanton,Hydrographic surveyor,primary,16930.89255135737
11166,Jessica,Baker,Fish farm manager,tertiary,29937.483675307063
11167,April,Dixon,"Designer, fashion/clothing",tertiary,30751.200294612016
11168,Beth,Joyce,Immigration officer,primary,17389.25994650948
11169,Robert,Dudley,Health promotion specialist,primary,19704.14245594894
11170,Carla,Chambers,Graphic designer,tertiary,29402.450906125323
11171,Scott,Potter,Civil Service fast streamer,primary,17232.066579175906
11172,Brendan,Smith,Technical author,primary,19716.97988311848
11173,Lisa,Valencia,Sports coach,primary,18223.926968723525
11174,Lisa,Williams,Prison officer,primary,16976.786967497443
11175,Michael,Howard,Tax inspector,primary,19390.737717898894
11176,Samantha,Frye,"Presenter, broadcasting",primary,18694.11337363392
11177,Christine,Watson,Higher education careers adviser,primary,18852.706402999607
11178,Samantha,Stone,"Scientist, product/process development",primary,19297.138839118612
11179,Jacob,Williams,"Surveyor, commercial/residential",tertiary,29676.147052577977
11180,Kelly,Anderson,Health and safety inspector,primary,17907.56291903392
11181,Bailey,Gomez,Hospital doctor,primary,16839.200707033582
11182,Timothy,Johnson,Company secretary,primary,18647.542165660958
11183,Lori,Kim,Clinical embryologist,primary,17492.280376651757
11184,Greg,Baker,Actuary,primary,17355.3304111829
11185,April,Shepherd,Barista,primary,18146.00096273917
11186,Tyler,Parks,Adult nurse,primary,19124.06972416787
11187,Amanda,Saunders,"Designer, multimedia",primary,17157.859054441076
11188,Paul,Ramsey,Theme park manager,secondary,22604.405649159664
11189,Ryan,Miller,Drilling engineer,tertiary,27612.040367056827
11190,Michael,Calhoun,Freight forwarder,primary,17523.53082682308
11191,Alison,Daniel,Chief Operating Officer,secondary,20137.678271493987
11192,Jean,Christian,"Therapist, speech and language",primary,19991.911897071586
11193,Jennifer,Brown,Air cabin crew,secondary,21133.123561535594
11194,Glenn,Smith,Commissioning editor,tertiary,28953.123260068758
11195,Brandon,Campbell,General practice doctor,primary,17677.437351324512
11196,Christopher,Williams,Call centre manager,tertiary,28768.98733233612
11197,Lydia,Gordon,"Scientist, biomedical",primary,17412.57598096645
11198,Paul,Carter,"Sound technician, broadcasting/film/video",primary,16527.819836212835
11199,Heather,Nicholson,"Therapist, drama",tertiary,30010.813246367634
11200,Craig,Flores,Technical brewer,primary,19720.125398055294
11201,Colleen,Noble,"Biochemist, clinical",primary,17479.567732718133
11202,Theresa,Cannon,Accommodation manager,tertiary,27152.3132412361
11203,Kathleen,Ferguson,"Research officer, government",primary,18116.801369494573
11204,Scott,Shepherd,"Education officer, museum",primary,19047.063447474062
11205,Carlos,Lane,Homeopath,secondary,22520.81921517649
11206,James,Barron,"Research officer, government",primary,18238.95697696535
11207,Lisa,Brown,Forensic scientist,secondary,20645.38526235294
11208,Phillip,Owens,"Civil engineer, contracting",primary,18264.24259177577
11209,Kevin,Wall,Actuary,primary,17580.4045075867
11210,Jennifer,Gilbert,Learning mentor,secondary,20803.943441416417
11211,Jennifer,Walker,Land/geomatics surveyor,primary,16836.2438518578
11212,Jenna,Burgess,"Research officer, political party",tertiary,29176.100792009605
11213,Jonathan,Jones,Radio producer,primary,18775.58276617448
11214,Mary,Campbell,"Engineer, electronics",primary,17708.22531127617
11215,Caleb,Kent,Ambulance person,secondary,20500.76408705086
11216,Monique,Dudley,Energy manager,secondary,21579.659487795387
11217,Michele,Jones,"Engineer, production",primary,18123.857595639085
11218,Alan,Carr,"Research officer, government",primary,17068.1032211404
11219,Jorge,Carr,Sports administrator,primary,16452.041035281207
11220,Adam,Jackson,"Designer, blown glass/stained glass",secondary,22839.58189330139
11221,Megan,Jackson,"Engineer, energy",tertiary,30083.723648088122
11222,Christine,Dixon,"Administrator, local government",primary,18691.306923504744
11223,Alex,Johnson,Youth worker,primary,17601.264278846436
11224,Kyle,Elliott,"Scientist, research (physical sciences)",primary,17853.9397092345
11225,Billy,Owens,Waste management officer,tertiary,30910.34137949001
11226,Joshua,Cole,"Copywriter, advertising",primary,18273.710535924743
11227,Alison,Hayes,Art gallery manager,primary,17800.327587556538
11228,Tiffany,Beck,Animal technologist,primary,18546.476065522187
11229,Rita,Smith,Adult guidance worker,primary,18403.29267439352
11230,Kimberly,Perez,Legal executive,primary,19613.02901498404
11231,Jessica,Moore,Ergonomist,primary,18489.421336326253
11232,Jacob,Johnson,Mental health nurse,primary,18226.092405363474
11233,Darlene,Sheppard,Land/geomatics surveyor,secondary,23115.58634647098
11234,Richard,Moore,Hydrologist,primary,18069.927732941076
11235,Samantha,Torres,"Scientist, research (medical)",tertiary,29320.52863584165
11236,Lisa,Snyder,Chief Financial Officer,secondary,20419.205188124703
11237,Joann,Davis,"Development worker, international aid",primary,17012.693554897323
11238,Aaron,Wolf,"Surveyor, building",primary,16134.678451336087
11239,David,Hicks,Dance movement psychotherapist,primary,16502.57359433787
11240,Jessica,Soto,Veterinary surgeon,primary,17237.412304302157
11241,Christopher,Harmon,Proofreader,primary,18526.614073934194
11242,Matthew,Campos,Claims inspector/assessor,primary,18882.583713897162
11243,Corey,Williams,Merchant navy officer,primary,17230.9099266449
11244,Sarah,Myers,"Designer, industrial/product",secondary,23639.017527995442
11245,Christine,Smith,Writer,primary,18188.814868021233
11246,Robert,Chen,"Producer, radio",secondary,21520.29442780244
11247,Patricia,Chambers,Health promotion specialist,primary,18557.390279660503
11248,Patricia,Young,Tree surgeon,primary,19191.709288166552
11249,Jenna,Bass,"Engineer, drilling",primary,16525.761154061678
11250,Megan,Sanchez,Educational psychologist,primary,17942.83336071671
11251,Bradley,Fernandez,"Geneticist, molecular",primary,16518.47915040571
11252,Renee,Nguyen,Primary school teacher,primary,18442.256076538666
11253,Patrick,Murphy,Maintenance engineer,primary,19585.267148098665
11254,Raymond,Greene,Careers information officer,primary,16569.483050171562
11255,Craig,Decker,Public relations officer,primary,15805.50240650097
11256,Janice,Morris,Scientific laboratory technician,primary,17279.655193293493
11257,Luke,Smith,Broadcast journalist,primary,17392.045425497097
11258,Brittney,Sanchez,Forensic scientist,secondary,21729.558532168405
11259,Ryan,Gonzalez,Planning and development surveyor,primary,18560.895410033976
11260,Aaron,Banks,"Therapist, sports",tertiary,30234.205042259327
11261,Sara,Holmes,"Teacher, early years/pre",primary,17080.091382366398
11262,Jason,Todd,"Accountant, chartered",secondary,22283.195526029936
11263,Gina,Wallace,Geochemist,primary,17121.87729596206
11264,Nicholas,Castro,Control and instrumentation engineer,secondary,23479.712952587153
11265,Antonio,Glover,"Therapist, speech and language",primary,18063.215326038433
11266,Keith,Winters,Software engineer,secondary,22902.8916954051
11267,David,Murray,"Librarian, academic",primary,17208.91409277481
11268,Rodney,Paul,Chartered loss adjuster,tertiary,31883.59669779523
11269,Brian,Young,English as a second language teacher,secondary,21205.841720795368
11270,Vicki,Garrison,Commissioning editor,primary,18837.51727656083
11271,Michael,Clark,"Engineer, structural",primary,16912.529613683175
11272,Jeremy,Hall,Community pharmacist,primary,18855.167939741827
11273,Nathan,Brown,Retail merchandiser,secondary,24187.68775357955
11274,David,Nguyen,Garment/textile technologist,primary,18287.86564455058
11275,Zachary,Martinez,Sports administrator,primary,16248.596832361789
11276,Veronica,Hoffman,Land/geomatics surveyor,primary,18746.48838494994
11277,Brian,Phillips,Heritage manager,primary,17423.671300298047
11278,Rebecca,Brown,Herbalist,primary,19131.66543956345
11279,Susan,Bell,"Psychologist, counselling",secondary,20576.12519859657
11280,Nathaniel,Warren,Clinical molecular geneticist,primary,18731.539814805386
11281,Heather,Cunningham,Food technologist,primary,18465.841037296464
11282,Mary,Green,Editorial assistant,primary,17269.56386046509
11283,Sara,Jones,"Engineer, civil (contracting)",primary,17744.557235798886
11284,Ryan,Malone,"Research officer, political party",tertiary,30886.95517543503
11285,George,Wilson,Ergonomist,secondary,22080.06370783864
11286,Elizabeth,King,Technical author,tertiary,32439.593779465715
11287,Angela,Mclaughlin,Lexicographer,primary,18136.659158405724
11288,Derek,Nguyen,"Lighting technician, broadcasting/film/video",primary,19007.514198344878
11289,Cindy,Bryant,"Engineer, land",tertiary,31540.641540176282
11290,Christina,Bradford,Press sub,primary,18211.19214033796
11291,Kathryn,Dawson,Microbiologist,primary,18173.012364488954
11292,Michele,Rodriguez,Probation officer,primary,19456.455720368725
11293,Amanda,Powell,Fast food restaurant manager,secondary,22646.467106260934
11294,Alexis,Gutierrez,Sports development officer,primary,17691.956278783386
11295,William,Kim,"Scientist, research (medical)",primary,17657.45837313941
11296,Denise,Sanchez,Firefighter,primary,18022.63570444396
11297,Troy,Holland,Telecommunications researcher,secondary,22266.79851834744
11298,Jerome,Rodriguez,Insurance account manager,secondary,21468.32849178157
11299,Nicole,Velazquez,Airline pilot,primary,18312.112353918536
11300,Kevin,Quinn,Air traffic controller,primary,18613.502117716846
11301,Teresa,Sullivan,Forensic psychologist,primary,18523.433114535284
11302,Sarah,Gray,"Social research officer, government",primary,17454.084160046263
11303,Thomas,Alexander,Marketing executive,primary,17086.316352466118
11304,Shelly,Murphy,Haematologist,primary,17535.364799768933
11305,Laura,Santos,Magazine features editor,secondary,22088.73067046808
11306,Daniel,Herman,Television production assistant,primary,16639.195135121965
11307,Kimberly,Henderson,Actuary,primary,15242.304103946166
11308,John,Huerta,"Accountant, chartered",secondary,22325.315115802605
11309,Michael,Ortiz,Human resources officer,primary,17566.175121277483
11310,Michelle,Evans,"Scientist, biomedical",secondary,21158.887504861552
11311,Colleen,Collier,"Loss adjuster, chartered",tertiary,31693.9577368718
11312,Lisa,Smith,Multimedia specialist,primary,17208.42364523285
11313,Jennifer,Walker,Air cabin crew,primary,18893.739604842976
11314,Patrick,Howard,Data processing manager,primary,18940.15132200906
11315,James,Pratt,Economist,primary,19102.745877477242
11316,Rachel,Johnson,Market researcher,primary,18702.363836959146
11317,Nathaniel,Patterson,Estate manager/land agent,secondary,22606.930024000303
11318,Janice,Johnson,Educational psychologist,primary,19173.210146949452
11319,Michelle,Rivera,"Producer, radio",primary,16858.052516143143
11320,Sandra,Chandler,Environmental health practitioner,secondary,21642.82849389392
11321,Kelly,Jenkins,Pensions consultant,primary,20268.912230888145
11322,Brittany,Gardner,"Biochemist, clinical",primary,15375.874042770058
11323,Joseph,Cole,"Nurse, mental health",primary,19121.19082432671
11324,Michelle,Meadows,Child psychotherapist,secondary,21008.542452613077
11325,Jacqueline,Molina,Purchasing manager,primary,17086.991002305665
11326,Holly,Martin,Museum education officer,tertiary,30822.032090846147
11327,Kathleen,Stanley,"Restaurant manager, fast food",primary,20116.8754004014
11328,David,Joseph,"Teacher, early years/pre",primary,16706.377279481036
11329,Jeffrey,Barber,Office manager,primary,15697.873755948869
11330,Sara,Jones,"Editor, commissioning",primary,15514.838124530746
11331,Michael,Kim,"Physicist, medical",secondary,20748.259645447622
11332,Darius,Liu,Musician,primary,18103.543038600343
11333,Nicholas,Williams,Air cabin crew,tertiary,29129.731120239627
11334,Lauren,Anderson,Associate Professor,tertiary,30382.111066011275
11335,Teresa,Brown,Control and instrumentation engineer,primary,18947.811058041123
11336,Thomas,Fernandez,"Designer, multimedia",primary,18151.095657466463
11337,Alexis,Perry,Dramatherapist,primary,16465.978777329517
11338,Teresa,Cox,Building services engineer,primary,18285.54694845432
11339,Sarah,Brown,"Surveyor, minerals",secondary,20289.924075308565
11340,Michelle,Flores,Quality manager,primary,18379.02380193976
11341,Robert,Singh,Insurance underwriter,primary,17618.449757166825
11342,Denise,Guzman,Insurance broker,secondary,22104.687285681568
11343,Frederick,Adams,Legal secretary,tertiary,30905.348884963
11344,James,Hunter,Broadcast engineer,primary,17298.355893389966
11345,Ryan,Hoover,Academic librarian,primary,16704.789000718694
11346,Jennifer,Orozco,Control and instrumentation engineer,primary,18742.714400483153
11347,Whitney,Johnson,Chief of Staff,secondary,20801.704952077955
11348,Joyce,Peterson,Passenger transport manager,secondary,22856.82270225373
11349,Christopher,Warner,"Education officer, museum",tertiary,30971.28847872357
11350,Wendy,Bowman,Nutritional therapist,primary,19976.72813733749
11351,Lisa,Morgan,Cabin crew,primary,18639.33946855608
11352,Brian,Walker,Quantity surveyor,secondary,21170.914202922024
11353,Kristopher,Ross,Scientific laboratory technician,primary,17423.545235250713
11354,Dawn,Alvarez,"Engineer, automotive",primary,19237.90126571159
11355,Michelle,Delacruz,Higher education careers adviser,primary,17031.330171911883
11356,Jennifer,White,Public relations account executive,primary,19278.9082406744
11357,Billy,Edwards,Telecommunications researcher,tertiary,30014.640236437255
11358,Denise,Fields,"Engineer, land",primary,17022.9398330745
11359,Krystal,Bray,"Surveyor, rural practice",primary,16141.499757198839
11360,Edward,Vazquez,"Engineer, chemical",primary,18195.83993350547
11361,Patricia,Morgan,"Journalist, magazine",primary,18641.476107706618
11362,Samuel,Torres,"Engineer, drilling",primary,17800.673277733422
11363,Chelsea,Roach,Health visitor,primary,18084.70247349763
11364,Chelsey,Moran,"Physicist, medical",tertiary,30020.252362811672
11365,Anna,Odonnell,Lexicographer,secondary,23600.15533521669
11366,Lisa,Gonzales,"Programmer, multimedia",primary,19293.071888782404
11367,David,Becker,Music therapist,secondary,21862.701510334115
11368,Bobby,Morse,Early years teacher,primary,17356.141102234793
11369,Becky,Davila,Research scientist (physical sciences),secondary,22401.133789730924
11370,Danielle,Cantu,Diagnostic radiographer,primary,18041.94277969731
11371,Brandon,Ali,Sports development officer,secondary,21498.855596478228
11372,Carl,Fisher,Facilities manager,primary,18011.842662929124
11373,Kevin,Estes,"Administrator, charities/voluntary organisations",secondary,23027.38435397751
11374,Susan,Avila,"Journalist, newspaper",secondary,22791.886824662968
11375,April,Vaughan,Trade union research officer,primary,19682.93701914694
11376,Lisa,Lopez,Camera operator,primary,16205.884726717784
11377,Anthony,Davis,Hydrologist,primary,18771.333693219585
11378,Sheila,Jarvis,Chief Executive Officer,tertiary,33373.772688277546
11379,Jennifer,Pierce,Immunologist,primary,16160.03355315287
11380,Christopher,Andrade,Broadcast presenter,primary,16506.384302601422
11381,Patrick,Brown,Geophysical data processor,primary,18174.23431888163
11382,Mark,Swanson,"Scientist, research (maths)",primary,18225.622265865535
11383,Thomas,Jones,Associate Professor,primary,17594.00198615625
11384,Sharon,Davis,Fitness centre manager,primary,18373.202522456017
11385,Jeffrey,Madden,Optometrist,secondary,23041.676240527977
11386,Kristy,Burton,"Accountant, chartered public finance",secondary,23330.433805717592
11387,Rodney,Hines,"Engineer, energy",tertiary,30276.77804268029
11388,Jane,Burns,Pensions consultant,primary,19186.717789850845
11389,Taylor,Robinson,IT consultant,primary,18978.750705433053
11390,Cynthia,Castro,Chief Strategy Officer,primary,19006.199948616533
11391,Mary,Johns,Phytotherapist,primary,17872.927959809374
11392,Jeanette,Boyle,Psychotherapist,primary,17857.155502078363
11393,Mary,Gutierrez,"Geologist, engineering",primary,17366.78844828756
11394,Glen,Rios,Games developer,primary,17154.632124566564
11395,Antonio,Brady,Oceanographer,primary,18047.959320220027
11396,Darlene,Martinez,Petroleum engineer,secondary,22057.50717489489
11397,Alexandra,Rice,Film/video editor,secondary,25277.39036149723
11398,Craig,Cook,Physiological scientist,secondary,21431.338649346395
11399,Teresa,Myers,"Engineer, mining",primary,16860.058942843047
11400,Nicole,Jimenez,Prison officer,primary,17549.550318641373
11401,William,Turner,Training and development officer,primary,17697.486276174055
11402,Jeremy,Quinn,Scientific laboratory technician,primary,18147.060630792468
11403,Kim,Brown,Dispensing optician,primary,19500.217207777874
11404,Richard,Turner,Counselling psychologist,primary,17808.690058773675
11405,Christopher,Patton,Advertising art director,tertiary,29852.098058865155
11406,Charles,Murillo,Travel agency manager,primary,17392.81607550179
11407,Carla,Robinson,Corporate investment banker,primary,18510.070233547387
11408,Barry,Fields,Training and development officer,secondary,22705.781570696083
11409,David,Duncan,Adult nurse,secondary,22489.53208200454
11410,Aaron,Clark,Industrial/product designer,tertiary,31246.076905569073
11411,Alan,Herrera,Printmaker,primary,16930.339719071973
11412,Megan,Gomez,"Civil engineer, contracting",primary,15571.405146510457
11413,Christina,Trujillo,Training and development officer,primary,16561.258896782165
11414,Jermaine,Dickerson,"Designer, ceramics/pottery",primary,17435.78283732294
11415,Hannah,Hernandez,"Production assistant, radio",primary,19261.50460670929
11416,James,Bell,Ship broker,primary,18748.022640048188
11417,David,Foley,Chief Technology Officer,primary,18188.055673022758
11418,Molly,Munoz,Counselling psychologist,primary,18491.19175278735
11419,Melinda,Garcia,"Teacher, special educational needs",secondary,22123.48535422912
11420,Debbie,Maldonado,Electrical engineer,secondary,21543.039268414304
11421,Angela,Phillips,Media planner,tertiary,29403.772706856216
11422,Brenda,Doyle,Wellsite geologist,primary,18430.200259562742
11423,Gina,Jones,Comptroller,tertiary,29545.601468964775
11424,Kevin,Clark,Television production assistant,secondary,22879.48521935045
11425,Kelsey,Ross,International aid/development worker,primary,18852.679115249965
11426,Julia,Bowman,Telecommunications researcher,tertiary,30239.055881271266
11427,Zachary,Small,Town planner,tertiary,30746.32599854889
11428,Jeremiah,Nelson,Ambulance person,primary,19111.64232224916
11429,Joshua,Baker,"Nurse, children's",primary,18401.177676478106
11430,Susan,Mccormick,Personal assistant,primary,17053.053298183968
11431,Deborah,Hampton,"Scientist, research (medical)",secondary,21577.786422435198
11432,Mary,Brooks,"Production designer, theatre/television/film",secondary,23017.331303754196
11433,April,Armstrong,Commercial/residential surveyor,primary,18562.908614420696
11434,Scott,Ferguson,"Scientist, research (life sciences)",primary,19986.182538723107
11435,Brandon,Edwards,Immunologist,primary,16842.927272682045
11436,Benjamin,Warren,Printmaker,secondary,22893.034528509328
11437,James,Thomas,"Civil engineer, consulting",secondary,20908.653256167814
11438,Brad,Morgan,Tourist information centre manager,primary,16850.43540225702
11439,Michael,Jones,Armed forces operational officer,tertiary,29201.068856110724
11440,Shirley,Valdez,"Lecturer, further education",primary,17619.155937126576
11441,Anna,Dawson,Teaching laboratory technician,primary,17319.0032118281
11442,Richard,Gutierrez,Dramatherapist,primary,17691.749765287354
11443,Caitlin,Wilkinson,Agricultural consultant,primary,17793.363815730656
11444,Mark,Burns,Environmental health practitioner,primary,16303.903118474767
11445,Stephanie,Powell,Horticultural consultant,primary,17941.740121533854
11446,James,Nichols,Clinical molecular geneticist,secondary,21942.613576304757
11447,Mary,Cervantes,Brewing technologist,primary,19163.04444752275
11448,Brian,Williams,Risk manager,tertiary,29646.13270979145
11449,Anna,Johnson,"Psychotherapist, child",secondary,20820.99651114939
11450,April,Meyer,Actuary,primary,16714.456612344933
11451,Shawn,Simmons,"Nurse, mental health",tertiary,27746.7713584682
11452,Michael,Brooks,Network engineer,primary,18559.658847905805
11453,Linda,White,Dancer,primary,18554.008782553006
11454,Trevor,Anderson,Production engineer,secondary,20773.709198784018
11455,Donna,Shea,Travel agency manager,primary,18059.24355433001
11456,Ryan,Frederick,Hotel manager,primary,18180.243936298128
11457,Katherine,Howell,"Engineer, mining",primary,18771.737555068772
11458,Helen,Hansen,"Engineer, maintenance",tertiary,32161.069712318855
11459,Deborah,Jackson,Counselling psychologist,secondary,20157.042777267197
11460,Alexander,Hines,"Embryologist, clinical",primary,16265.978525506982
11461,Maria,Walker,Broadcast presenter,primary,18049.194744738623
11462,Michael,Li,Astronomer,primary,18606.34119427693
11463,Daniel,Davidson,"Engineer, automotive",tertiary,31501.790424747473
11464,Ana,Clements,Cytogeneticist,primary,17138.01222637276
11465,Ruben,Thompson,Armed forces training and education officer,tertiary,29600.97616581227
11466,Robert,Ross,Emergency planning/management officer,primary,18276.554192457723
11467,Melissa,Tucker,Psychotherapist,primary,19312.73645858962
11468,Amy,Salazar,Travel agency manager,tertiary,29404.986905868223
11469,Stephanie,Floyd,Cabin crew,secondary,23758.27177522078
11470,Vanessa,Hickman,Tax adviser,secondary,23379.81082709458
11471,Jill,Holland,"Production assistant, television",primary,17223.489203188852
11472,Ryan,Rollins,"Conservator, furniture",primary,18567.72588037864
11473,Angela,Rivers,Community arts worker,primary,18585.014919293008
11474,Larry,Moss,Actor,primary,19003.575273995768
11475,Hannah,Gross,"Teacher, special educational needs",secondary,23088.575859764198
11476,Adam,Sanders,"Engineer, agricultural",primary,17961.304667014494
11477,Nicholas,Thompson,English as a foreign language teacher,secondary,22167.43002827549
11478,Richard,Garrett,Solicitor,primary,16709.967874827995
11479,Judy,Krueger,"Scientist, biomedical",primary,17602.294503600002
11480,Stacy,Kaufman,Commercial/residential surveyor,secondary,21523.031431877083
11481,James,Shah,Health and safety inspector,primary,17286.51936195771
11482,Wendy,Martin,"Producer, television/film/video",primary,16945.615859890808
11483,Tamara,Reyes,"Lecturer, higher education",tertiary,29883.889244501643
11484,Crystal,Lee,Land/geomatics surveyor,primary,18408.275747298972
11485,Ashley,Adams,Broadcast presenter,primary,18047.959320220027
11486,Ashley,Acevedo,Environmental manager,primary,18632.19846563796
11487,Sarah,Campbell,Geoscientist,primary,19995.896995922216
11488,Sandra,Dixon,"Engineer, mining",primary,17411.48073679537
11489,Randy,James,Data processing manager,tertiary,30046.979894084147
11490,Morgan,Horton,"Scientist, forensic",secondary,23186.740473811336
11491,David,Lee,"Administrator, Civil Service",primary,18606.581243671546
11492,Mark,Rose,Operations geologist,primary,17545.874664950108
11493,Wayne,Crane,"Engineer, manufacturing systems",secondary,21295.264282158714
11494,Christopher,Keller,"Psychologist, educational",primary,15375.874042770058
11495,Donna,Church,Purchasing manager,primary,18194.021099171598
11496,Susan,Benson,Chiropractor,primary,18494.152016372944
11497,Gregory,Vasquez,Product designer,primary,19541.555755396206
11498,Barbara,Reed,Agricultural engineer,secondary,20876.505384363238
11499,Krista,Clark,Hospital doctor,primary,17716.771347443093
11500,Emily,Moore,Purchasing manager,primary,18810.955497116178
11501,Thomas,Morrison,"Horticulturist, commercial",primary,19696.518436817812
11502,Jacob,Armstrong,Public relations officer,secondary,22715.97218614763
11503,Fred,Hickman,Dietitian,primary,16481.17896275139
11504,Paul,Alvarez,Jewellery designer,primary,17770.824774711684
11505,Timothy,Hess,"Psychologist, educational",tertiary,31501.483362084295
11506,Jay,Cain,Minerals surveyor,primary,18520.289047792536
11507,Karen,Hess,Pensions consultant,secondary,24030.148660917377
11508,Emily,Miller,Community development worker,tertiary,29524.212959886016
11509,Logan,Leblanc,Civil Service administrator,primary,17340.302648106892
11510,Stephen,Romero,Tourist information centre manager,tertiary,30986.429989982207
11511,Susan,Dyer,Research scientist (medical),primary,18317.702673872296
11512,Veronica,Blake,Printmaker,primary,19705.7334890842
11513,Lisa,Anderson,"Geneticist, molecular",primary,19140.59181336894
11514,Chelsea,Braun,Administrator,primary,18745.998807853084
11515,Jessica,Clements,"Teacher, music",primary,18206.55251988186
11516,Sean,Scott,Sports therapist,primary,18275.585380762543
11517,Sara,Hatfield,Legal secretary,primary,17112.59885613252
11518,Debbie,Brown,Product designer,primary,18736.229047351146
11519,Kimberly,Wilson,"Designer, blown glass/stained glass",primary,18453.598720259582
11520,Trevor,James,Plant breeder/geneticist,tertiary,29575.45247702284
11521,Lisa,Smith,Mental health nurse,primary,20341.004261953003
11522,Jacob,Payne,Counselling psychologist,secondary,22038.00632465099
11523,Kevin,Sloan,"Nurse, learning disability",secondary,20581.50616573286
11524,Katie,Hebert,Art therapist,primary,20161.23191077555
11525,Michelle,Smith,Lobbyist,primary,18048.93222382523
11526,Donald,Simon,Architectural technologist,primary,18359.851642912963
11527,Brian,Grant,Marketing executive,secondary,22290.57287965155
11528,Theresa,Flores,Optometrist,tertiary,30765.85316151341
11529,Robert,Vega,Microbiologist,primary,18267.383601041143
11530,Clayton,Dixon,Gaffer,secondary,22819.439281184284
11531,John,Martinez,Site engineer,primary,19001.48023626862
11532,Amanda,Cardenas,Medical secretary,secondary,22204.581869194142
11533,Shane,Griffith,"Accountant, chartered",secondary,20797.759718505236
11534,Dana,Jones,"Designer, jewellery",primary,17372.13681528125
11535,Heather,Stone,Quantity surveyor,secondary,20911.066370251352
11536,Brian,Boyle,Translator,primary,17743.16570123502
11537,Amanda,Smith,"Investment banker, corporate",secondary,23115.88697952616
11538,Mary,Gutierrez,Field trials officer,primary,18271.500590635376
11539,Angela,Perkins,"Designer, ceramics/pottery",primary,19643.40521671856
11540,Rebecca,Wright,Probation officer,primary,18528.603136445883
11541,Kathleen,Roberts,Ergonomist,secondary,22238.95845180605
11542,Thomas,Armstrong,Equality and diversity officer,primary,18136.69539499527
11543,Stephanie,Bates,Clinical cytogeneticist,primary,18254.07450662121
11544,Michael,Grant,"Nurse, learning disability",primary,17605.376377313678
11545,Deanna,Sanchez,Structural engineer,primary,18272.258215814923
11546,Christopher,Mcgee,"Engineer, control and instrumentation",primary,16806.616035208765
11547,Tony,Fletcher,"Engineer, structural",primary,16023.473277232135
11548,Tara,Curtis,Sport and exercise psychologist,primary,17597.803925996697
11549,Julia,Holloway,Arts development officer,primary,18486.80255832349
11550,Crystal,Thomas,Museum/gallery exhibitions officer,tertiary,29806.2220279259
11551,Nathaniel,Jimenez,Quality manager,tertiary,30063.189505284143
11552,Melody,Mitchell,Geoscientist,tertiary,28813.210383196896
11553,Christian,Brady,Theatre manager,primary,19688.698325430934
11554,Anthony,Garcia,"Research officer, political party",secondary,22628.289144775183
11555,Emily,Morris,Product/process development scientist,tertiary,31796.07812033269
11556,Jonathan,Simmons,"Designer, television/film set",secondary,20905.769954075477
11557,Jessica,Roberts,Quality manager,primary,18469.375935598793
11558,Bradley,Michael,Barista,primary,19019.020027479924
11559,Amy,Mann,Psychiatrist,primary,16653.280829434963
11560,Courtney,Velazquez,Armed forces logistics/support/administrative officer,secondary,22181.38262658496
11561,Renee,Summers,Consulting civil engineer,secondary,22021.498065511973
11562,Nicole,Manning,Theatre manager,primary,19198.334327270462
11563,Shelly,Brady,Occupational therapist,secondary,21548.602995838857
11564,Melissa,Castillo,"Clinical scientist, histocompatibility and immunogenetics",primary,17796.505628498875
11565,Richard,Harmon,"Sales professional, IT",secondary,22160.976230229317
11566,Dana,Carr,Psychotherapist,tertiary,29021.479660257908
11567,Paige,Perkins,"Scientist, clinical (histocompatibility and immunogenetics)",secondary,23695.54099193065
11568,Nancy,Riddle,"Scientist, biomedical",primary,17530.693528616866
11569,Darrell,Small,Tree surgeon,primary,17450.93793551564
